text,label
Kanki ki der Allah sob samoy valo rake,0
khanki akta,0
Ore saniliyon,0
Bokachoda Shangbadik,0
Balda dekhaiche,0
Shob Gorther Lilakhela,0
Sobai sundorer pujari,3
lerimoni,0
Jana Galo Pori moner akta cheler khoj,3
Pori apu valo hoya gese,3
Amader ei eisob party er sponser korbe abar,3
Ahare gali dite mon chay parlamna,2
Vai toder kaj kam ase? Ke ki vabe pad dilo tao jante hobe toder?,2
More ja tui,2
Ei channel er ki r kono kaj nai vai news er ki etoi ovab,3
Chamrar Bebsha valoi cholche,0
Ortho thakle gorther obhab hoy na,0
Vabiiiiiiii jiiii,3
Koi taka danda korchos,2
Baler News,0
Erkom bokachoda News channel thakle entertainment er ovab hobe na..,2
Tmdr mto shuar shangbadik ai shaua e dekhaba,2
Nastik,0
Film star nah hoiya or porn star houa dorkar chilo,0
 Eto tk koi pailo?,3
Ami lej kata magi,0
miss korlen,3
Banglar Sunny,0
Gud Becha Tk diya shob shomvob,0
Ufff amr poritar ki lagca,3
Er pasay Dim Therapy Dawa hok,2
Bon bivag er dristy akorshon korchi,3
Ji...ami o,3
Porimoni age theke manoshik protibondhi,2
Holud Shangbadik sagoler tin number baccha,2
Potitar Cheye o oke beshi ghrina kore,0
Tor mar heda,0
Tomara media ra baler video banaiba,2
"24 Octobot ""Porimoni""Diboser jonno zorDabi janachi.",3
Banglar number one pornstar ,0
Amar naika,3
Tui e din e ashcos ovishab hoya,2
Apni jahannami sathe buira khatash keo jahannami korsen,0
Bash kibhabe nite hoy,2
Tor nichtolar rate koto?,0
Dalal Shangbadik,2
Priyo shomoy news,3
khanki take desh chara kora hok,0
Porir moton mon,3
nsu er SAC er 7 talay amrao er cheye kom bilashbohul jonmodin kom korinai,3
16 gonta hoga mara,0
Pelastic er dhon,0
Eshb Bokachondro re niye bangla tribune ekhn news kore chi,0
Paponer mayre chudi,0
Akash vora tara tigerder hoga mara shara,2
Ajke match here bangladesh final a uthe gelo ,2
Sob somikoron thik thakbe vai..but din sesh a banhladesh nijei hari bose thakbe,3
Variation nai khub ekta,3
Hahahhahhah vai amr 1kg khejur lagbe plz Bangladesh team k ektu bolben ,3
Discount ki pabo,3
"Poralekha er jonne kansilam , mair khaia ",3
Ei Nudi dare dekhlei rag lage,0
"Tor mare tui chod, tor putki tui mar",0
Tapa tap tapa tap,0
Ai shob nostami shodho Bangladesh ei shomvob.oporad koreo buk fuliye nilojjer moto ghure beray r media gulu eder niye koto shundor shundor news koreee... Baaah baaah baaah...,3
Tate amar bal chera gelo,0
Ekta beyadop mohila,2
khanki soda,0
Amon rajokio porivesey ami porike kethe chai,0
Dalal media r kono kobor nai,2
Abal marka news,0
Magi der news valo korte pare baler shangbadik,2
Kheye daw,0
Shangbadik re ek rat thakte dise,2
Kuttar baccha,0
Mod o chamra bebshai shofol tui,2
Mandar tel martache,2
 Vaiye mone hoy Nayok Jhoni r big fan,3
Amader to ar khaya daya kaj nai.... Je prem kormu ,3
Vai gan tare dhorson kore dilen,2
Bhodar Gan,2
Meye tar name ki ,3
Eida ki chilo reee vai,3
Op level er edit,3
Vai moja pailam ,3
Bah sudir vai bah Post datar akta bici kete  National Zoo te rakha hok ,2
Sei level er binodon disen,3
Ore chitar,2
Joni dada hoilo jatiyo pramik...sha tr shob fan reei tr valobasha deey,0
joni sing ar ai naika tar nam ki ,3
Taklu da k??  Na jana ami ,3
Gaan ta sei,3
Gan er sathe milse,3
Tomra egula share dite paro na??,3
Babu oi deko madarchod,2
Tomar moton vondo nato ,2
ei bal chal share dewar somoy ache ni?,2
achooda means virgin ,0
Beda ki bujhli,3
Tumi giye kete diye aso,3
Pakhi na nunu?,0
Akata nunu,0
Tui ekhane dhormo niye ansos tai tor mare chudi,0
Dhonu,0
Ha toke puruskar dibe tui vlo bujcos,3
Last warning dilam Dhormo niye kono baje montobbo korben na ,3
kisu koilam na ar,3
na bojhar ki aca,3
Ejonnoi amarro bar bar shotoba hahahaaaaaaaa dite mon cahitece,3
Vai amar comment copy kore paste maren .,3
Vai man ijjot dubayen na ,3
hedar hagoler bal dandi hondaiber taim nai.dandi hondai moja paina.,0
Asol kolar sad to say pai ja kola ta sula khaite jane kosa sho ja kamon laga sayta sobi jane ,0
Hummm vai tomer hoito jana nay kusa akbar carale sayta r lagate nay karon sayta korle pore jawar porobonota bara ro moila basi dore durgonto taratari hoi  wash korte korte aksomi dakajabe masin tay nay ,0
Onek experience ase mone hoy... ,3
Vala hoiya jaw,3
Nunu. Sonnat dise..,0
Maiya manush hoiya ato beshi bujen kn,2
Bisoy ta hoite ai ta ,3
Napit ar hater kaj valo na buja gachy  ,3
Tumi asha kore jaw,3
Ohh accha..Hoile kow koira dey..,3
Bowdi apnar husband  na parle amk bolben onek moja paben,0
Tomar konta pochondo?? Inbox reply koro ,3
Bullet ar chamra jholar moddhe different acei ,0
To apnar duder size koto ,0
Akata babar chodon nite parbi na,0
Apni kata barar kheye dekhn kmn jibone jotodin beche thkben vulben na ,0
ses porjonto etao carlen na eta moskora korar bicou,3
Na na uni to jemon khusi sajo competition e naam diyechen ,3
Novel niya jan,3
Tmi tw shob bujo...masud vlo hoye jao...,3
Tmi age valo hau vaiya,3
Na eita kintu aami bujte parlam na ,3
Bichi baba,0
Asho topa top dei,0
Ekhono shomoy ache bhalo hou,3
Odvut duniai bas kori,3
Allah hedayet koruk,3
Porishkar bangla!!!,3
Bhalo kore korite hobe akno full hoi nai ,3
Line e dariye jaw,3
Avabe islam ke opoman korar kono mane ase?,3
"vhi islam ar maje kono karap kaj nei.
Islam ke target kore mosrikra karap kaj kore.
Tai sob kico na jene islam niya karap kota bolien na..
Donno-bad.",3
Edit kora pic mone hosse..ring er color o change..,3
Amio legend hote aslam ,3
Tomar  idendity  Tumi die diyocho brother .Tumi  kon samage bas kro Indian culture na ano Kichu? ,2
Half nunu kata,0
amar hat jei kalar kala apnar ei post dekhar por vabbe ami bibahito,3
"Vai ami Legend na, trpore o buijja laise",3
Rag day er din valo kore bujaye debo ni,3
Apner o haat kalo hoyece. Haat duijon er eee kalo hoi. Tobei ekta shongsher hoi.,3
Ai rokom fake post korar ki dorkar ami bujhi na,3
Faul kotha.corporate job e abar hat kalo hoi kamne,2
Sob e nahoy bujhlam but ey nokh 3 ta ulta keno? Kono lozic khuje pelan na. Kemne ki?,2
eta hat...ami vabsilam murgir theng,2
Forsa Boyfriend er  haat.. R kalo ta jamir er haat,2
Shami change  naki bou,3
By the way nokh gulan amn rakkhosher moto kn?? Mone hocche jno majh raate ghore petni dhukse ,2
Apnar jamai ki rickshaw chalay apu?,2
Ore Allah Etto mota haath!!!!!,2
Kotha thikKintu filter use Kore mica kotha koiya ki hoilo..amra gadha na apa,2
Finger ring ta o black hoye gese Bedsheet o 11months dhore rekhe disen apu picture tular jonno,2
post bad de shamner jon re dhek,3
fak korle valo kore kor na,0
pola manush evabe public kono function e ba family function e boshle mainshe chagol bolbe....,3
Bhai 2.5k like er jonno sesh mesh emne chegaya boshailen onader?,3
"togo duidare kutta dia chodano dorkar, jaroj khanki magi kothakar",0
 post ta por r 4 yrs agekar sei ghotona bhab,3
meyeder bosh bad dei karon tomare dekhe meye moneo hoy na. bisri dekhte,0
 chutiyaaapaa dekh!!,0
Purai abal and vocus ekta ukil. Mane konorokm e pass kore monehoi ei line e esecheBalchal public,0
Oi batpar tar dui bichi cheicha dite hobe,0
meghdol bainchud gulo kokhono valo hobe na,0
oigula te toh kutnami chara bhalo kichu nai,2
apnar id ta ghure dekhlam. apnio ekj gay,2
Bhai ei apu der teke amr nach onk valoi ache,0
era ki Bangladesh er? Na mane frankly bhujtesi na vai,2
Bangladeshi nicki minaj ashte beshi deri nai,2
bangladesh obese right activist shommelon,2
halloween e joker dakse ken shob ajob,2
Kondom Box Raka Ucit Oitar Kotha Bollen Na Kn,0
Nijer Jonmodata Bap re maren cz seapnake jonm dice kn?,0
Durgondo Holew Din Shese Rat Holei Ei Purshongo Niye To Narira Khelate Lipto Hoy.,0
Apnare to school er master bananor kam vai ki shikhhitoo manushh,3
Ak Nari Jodi 4 Ta Samir Sate Sex Kre R 4 Joneri Jodi Baby Jonmo Dey Tahole Or J Haspatale Sit Age Thekei Booking Kre Rakte Hbe.,0
Areeh id ta to chena chena lage dekhci onk jaigay latthi o khaice meyeder akhono thik hoy na,2
30/32 year e meye takle amake knok daw...,3
Besi Boyosi Meye Biye Kra J Kotha Bura Gabi Biye Kra Aki Kotha. Karon 2 Tari Jinis Tkn R Thik Thake Na.,0
"Joghonno vasa hoice, egulo onno vabeo bujhano jeto",2
Tmr moto meye hole e atto bepod. amader emon kono problem nai jkhane society amader choto kore rekhese,0
"World's best Baja song, Dakta to............ ar moto ar sobdo choyon gulo bap ree bap. Protom bar baba khala ai obostai hoy, Bangladesh a dorshon hobar jonno ai kit gulo w dayi",2
Proti rat e koyta jamai sex kore?ei pola pure single sure,0
But kotha hocce ei vhabe ki ektao meye potaite parsen ?,2
Apner moto toh shobai gay na,2
Tahole apni hoito nordoma teke uthe esechen,2
magirpolago obostha ei rokomery hoy,0
kmny ki.. Room thik asy nh ki fatol dorce,2
Dhur BainChode!,0
Proud Bessha ghatok,0
Khaishta t shirt poira aestheticness choday,2
Ho bish kha ekhon. Shauwa.,0
khali shohobash korbi saradin bosti kothakar.. egula bole islam k manusher chokhe neg banache.. shoytan kothakar,0
"Thik e to ase , bodyr kono care nai sharadin khaway khaway jol hostir moto shorir banay rakhe bachha der , onno polapan dekhe bhoy pay",2
And ei school er principal bokachoda chara allow nah,2
tarporeo baittar height barena,2
Kutta o chayya thkana ashob bal gular upor,2
maney pola hoiyya daam pay nai! Diya ekhon maiyya shaija attention kuraitese?,2
Amar bashar kajer mohila er thika shundor,2
Ei cherir hairstyle emun kya. Eta pola na maiya?,0
shalar is hujur gulai shobchey boro luichcha,0
"Uffff bujlm na,Tmi atto sexy kno",0
Sabdhane thaiken apu nahole porir moto apna kaw Rab asaye niya jaben,3
Johnny sins aer dorkar akhon,0
nicher tawoo akirokom naki?,2
ai maal a amne t-shirt porse kno??,2
puro kuttar hogar moto lagse..,2
ai bedir mexi khula kno?!,2
vitore thaka talent r 44 size dudh kokhono lukanu jay na.,2
Apnar oita kule jacce kn anty ?,2
Khela ses kore kapor tao thik korar somoy pas nai,0
apnar dudh to pahar er moto boro!!,0
taka lagle boilo tao tmr dudh er conpany bondho koro plz,2
bal marka selfie style,2
salman tip diye dudh khabe akhn,0
Pic tulso tik ace tai bole ato capacapi kno bro Duke jaw 2 jon ar bitor atai better,0
dame kom  mane valo..salman er hoga kalo,0
Ore O kheye diso nah?,0
Vai production use kortacen too... amer company ta valo valo production acha to tai bolam..,3
ek bar haat mara sikhe gele president hobar sopno jabo ga...taliban mara to dure thak,0
haat mara uchit chilo or baper..projonon khomota nosto hole or moto baccha jonmo nito na..,0
Comments on kore dile oy nijei destroy hoy jaito,2
ekta comment korbo asho sad react diye jao,3
Sala besi bal pakna.,0
